CAGDP2 Gross domestic product (GDP) by county 1
CAGDP2 Gross domestic product (GDP) by county 1
County
GeoFIPS,GeoName,LineCode,Description,2022,2023,2024
42017,"Bucks, PA",34,"    Wholesale trade",3821599,3961979,4117808
42017,"Bucks, PA",35,"    Retail trade",2971680,3215145,3368358
42017,"Bucks, PA",36,"    Transportation and warehousing",1197075,1052629,1181758
42017,"Bucks, PA",45,"    Information",1942169,1859590,1918076
42017,"Bucks, PA",50,"    Finance, insurance, real estate, rental, and leasing",9376859,10194856,10961776
42017,"Bucks, PA",51,"      Finance and insurance",2219525,2364442,2532014
42017,"Bucks, PA",56,"      Real estate and rental and leasing",7157334,7830414,8429762
42017,"Bucks, PA",59,"    Professional and business services",5951284,6035139,6383869
42017,"Bucks, PA",60,"      Professional, scientific, and technical services",3851274,3899172,4133808
42017,"Bucks, PA",64,"      Management of companies and enterprises",718144,640585,729112
42017,"Bucks, PA",65,"      Administrative and support and waste management and remediation services",1381866,1495382,1520949
42017,"Bucks, PA",68,"    Educational services, health care, and social assistance",4901521,5321637,5837048
42017,"Bucks, PA",69,"      Educational services",534169,509528,541255
42017,"Bucks, PA",70,"      Health care and social assistance",4367352,4812109,5295794
42017,"Bucks, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",1625737,1884565,1963239
42017,"Bucks, PA",76,"      Arts, entertainment, and recreation",613743,672834,703722
42017,"Bucks, PA",79,"      Accommodation and food services",1011994,1211732,1259517
42017,"Bucks, PA",82,"    Other services (except government and government enterprises)",1213071,1282700,1361528
42017,"Bucks, PA",83,Government and government enterprises,2629410,2753923,2879676
42017,"Bucks, PA",,Addenda:,,,
42017,"Bucks, PA",87,Natural resources and mining,109301,111014,189563
42017,"Bucks, PA",88,Trade,6793278,7177124,7486166
42017,"Bucks, PA",89,Transportation and utilities,1704407,1604235,1708371
42017,"Bucks, PA",90,Manufacturing and information,6812946,7208677,7329931
42017,"Bucks, PA",91,Private goods-producing industries 2,7443489,8142043,8327025
42017,"Bucks, PA",92,Private services-providing industries 3,33508327,35359845,37620073
42019,"Butler, PA",1,All industry total,12878907,13905640,14517627
42019,"Butler, PA",2,"  Private industries",11553880,12493979,13032363
42019,"Butler, PA",3,"    Agriculture, forestry, fishing and hunting",25690,25043,11866
42019,"Butler, PA",6,"    Mining, quarrying, and oil and gas extraction",641810,522262,467880
42019,"Butler, PA",10,"    Utilities",36608,33318,37684
42019,"Butler, PA",11,"    Construction",605205,675660,685334
42019,"Butler, PA",12,"    Manufacturing",1891180,2005592,1939289
42019,"Butler, PA",13,"      Durable goods manufacturing",1403967,1444616,1435956
42019,"Butler, PA",25,"      Nondurable goods manufacturing",487213,560976,503333
42019,"Butler, PA",34,"    Wholesale trade",918785,954329,1032490
42019,"Butler, PA",35,"    Retail trade",863963,947058,988946
42019,"Butler, PA",36,"    Transportation and warehousing",398290,379590,396341
42019,"Butler, PA",45,"    Information",511312,536138,572999
42019,"Butler, PA",50,"    Finance, insurance, real estate, rental, and leasing",1989103,2293857,2492336
42019,"Butler, PA",51,"      Finance and insurance",402869,435101,466344
42019,"Butler, PA",56,"      Real estate and rental and leasing",1586234,1858756,2025992
42019,"Butler, PA",59,"    Professional and business services",1839928,2142144,2250702
42019,"Butler, PA",60,"      Professional, scientific, and technical services",736536,817959,863177
42019,"Butler, PA",64,"      Management of companies and enterprises",757481,942779,983650
42019,"Butler, PA",65,"      Administrative and support and waste management and remediation services",345911,381407,403876
42019,"Butler, PA",68,"    Educational services, health care, and social assistance",1120663,1196470,1323234
42019,"Butler, PA",69,"      Educational services",58526,64550,86475
42019,"Butler, PA",70,"      Health care and social assistance",1062137,1131920,1236759
42019,"Butler, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",418713,462638,490644
42019,"Butler, PA",76,"      Arts, entertainment, and recreation",75500,82761,87121
42019,"Butler, PA",79,"      Accommodation and food services",343213,379876,403523
42019,"Butler, PA",82,"    Other services (except government and government enterprises)",292632,319881,342616
42019,"Butler, PA",83,Government and government enterprises,1325027,1411662,1485264
42019,"Butler, PA",,Addenda:,,,
42019,"Butler, PA",87,Natural resources and mining,667500,547304,479746
